Dodic,Nomenclature
HA30,"""FUZE, MK435 MOD 0, HEPD"""
HA31,"""FUZE, MK436 MOD 0, HEPD"""
HA32,"""WHD, HE, 2.75 IN RCKT, MK146-0, W/MK435-0 FUZE"""
HA33,"""WHD, HE, 2.75 IN RCKT, MK146-0, W/MK435-0 FUZE"""
HA34,"""RCKT, 83MM HE SMAW-NE MK80-0"""
HA37,"""RCKT POD, 298MM M31 GMLRS 2-MODE FZ “S/L INFO”"""
HA38,"""BOOSTER RCKT MTR, MK70-1 F/GQM-163A COYOTE"""
HA39,"""ROCKET ASSISTED TAKE OFF (RATO) ROCKET MOTOR"""
HA44,"""RCKT MTR, 5 IN ZUNI MK71-2 (1340)"""
HA45,"""ROCKET MOTOR MK134-0, ESSM"""
HA47,"""RCKT POD, 298MM GMLRS 2-MODE FZ UK VERSION"""
HA48,"""RCKT, 66MM HE M72A9 LAW ASM"""
HA50,"""WHD, 2.75-INCH RCKT, MK 149/O FLECHETTE"""
HA54,"""RCKT,  2.75 IN, W/MK146-0 HE WHD, W/MK436-0 FUZE"""
HA56,"""RCKT,  2.75 IN, W/MK146-0 HE WHD, W/MK436-0 FUZE"""
HA57,"""RCKT, 2.75 IN INERT WHD WTU-1/B MTR MK66-4"""
HA58,"""RCKT, 2.75 IN INERT WHD WTU-1/B MTR MK66-2"""
HA59,"""RCKT, 2.75 IN HE WHD M151 MTR MK66-2"""
HA60,"""RCKT, 2.75 IN HE WHD M151 MTR MK66-4"""
HA61,"""RCKT, 2.75 IN SMK WHD MK67-1 MTR MK66-2"""
HA62,"""RCKT, 2.75 IN SMK WHD MK67-1 MTR MK66-4"""
HA63,"""RCKT, 2.75 IN SMK WHD MK67-1 MTR MK66-2"""
HA64,"""RCKT, 2.75 IN SMK WHD MK67-1 MTR MK66-4"""
HA68,"""RCKT MTR, 2.75 IN MK66-6"""
HA69,"""RCKT POD, 298MM GMLRS 3-MODE FZ DE VERSION"""
HA70,"""RCKT POD, 298MM GMLRS 3-MODE FZ AE VERSION"""
HA71,"""RCKT POD, 298MM GMLRS 3-MODE FZ SG VERSION"""
HA72,"""WHD, 2.75 IN RCKT, HEI, MPP, M282"""
HA73,"""RCKT POD, 298MM GMLRS 3-MODE FZ UK VERSION"""
HA76,"""RCKT SMOKE, 2.75 INCH"""
HA79,"""GUIDANCE SECTION, WGU-59/B FOR 2.75 IN ROCKETS"""
HA80,"""WHD, HE, 2.75 IN RCKT, MK152-0"""
HA81,"""RCKT POD, 298MM GMLRS DPICM AE VERSION"""
HA83,"""RCKT POD, 298MM GMLRS 3-MODE FZ BH VERSION"""
HA84,"""RCKT POD, 298MM GMLRS 3-MODE FZ JP VERSION"""
HA85,"""RCKT POD, 298MM MLRS LCRRPR AE VERSION"""
HA86,"""RCKT POD, 298MM MLRS LCRRPR SG VERSION"""
HA87,"""RCKT POD, 298MM MLRS LCRRPR BH VERSION"""
HA88,"""RCKT POD, 298MM MLRS LCRRPR JO VERSION"""
HA90,"""RCKT POD, 298MM GMLRS TACTICAL JO VERSION"""
HA92,"""RCKT POD, 298MM GMLRS FR VERSION"""
HA98,"""RCKT, 2.75 IN HE, W/ WHD M152 MOD 0"""
HB11,"""ROCKET POD, 298MM, M30A1"""
HB24,"""GUIDANCE & CONTROL SEC, WGU-59/B 2.75IN GUIDED RKT"""
HW09,"""MISSILE BODY, TACT GM-84F-1 HARPOON (1410)"""
HW16,"""MISSILE BODY, TACT GM-84F-1 HARPOON (1410)"""
HW19,"""WHD, 5 IN CHAFF MK76 MODS"""
HW37,"""GM, CAN THICKWALL TACT BGM-84F-1 HARPOON (1410)"""
HW38,"""GM, CAN THICKWALL TACT BGM-84F-1 HARPOON (1410)"""
HW39,"""RCKT, 2.75 IN LINE THROWING MK49-0"""
HW40,"""WHD, 5 IN ILLUM MK33-1"""
HW42,"""ADAPT-BOOST, 5 IN BBU-15/B"""
HW44,"""WHD, 5 IN CHAFF MK84-0"""
HW52,"""S & A DEVICE, MK33-0 (1336)"""
HW57,"""GM, EXER BTM-84F-1 HARPOON (1410)"""
HW58,"""GM, EXER BTM-84F-1 HARPOON (1410)"""
HW83,"""GM, TRNG AIM-7E-4 SPARROW (1410 OR 6920)"""
HW88,"""GM, TRNG AIM-7E-4 SPARROW (1410 OR 6920)"""
HW96,"""WHD, 5 IN CHAFF MK84-4"""
HW97,"""WHD, 5 IN CHAFF MK84-3"""
HW98,"""WHD, 5 IN CHAFF MK84-2"""
HX04,"""RCKT, ASSAULT PRAC 83MM MK4-0 SMAW"""
HX05,"""RCKT, ASSAULT HE 83MM MK3-0 SMAW"""
HX06,"""RCKT, ASSAULT HE 83MM MK6-0 HEAA SMAW"""
HX07,"""RCKT, ASSAULT PRAC 83MM MK7-0 HEAA SMAW"""
HY30,"""RCKT, METEOROLOGICAL PWN-8B"""
HY71,"""WHD, 2.75 IN FLECHETTE WDU-4A/A"""
H000,"""GRENADE, RIFLE SMK GRN STRMR M23 & A1 (1330)"""
H010,"""GRENADE, RIFLE SMK RED M22A2"""
H015,"""GRENADE, RIFLE SMK RED STRMR M23"""
H025,"""GRENADE, RIFLE SMK VIO STRMR M23"""
H030,"""GRENADE, RIFLE SMK WP M19 & A1"""
H035,"""GRENADE, RIFLE SMK YLW M22"""
H040,"""GRENADE, RIFLE SMK YLW STRMR M23"""
H050,"""LAUNCHER & GRENADE, SMK HC & WP XM/M176"""
H051,"""LAUNCHER & GRENADE, SMK HC XM/M226"""
H104,"""RCKT POD, 298MM M26 GP BASIC MLRS; “S/L INFO”"""
H108,"""RCKT POD, 298MM M28 PRACT MLRS; “S/L INFO”"""
H110,"""RCKT, 66MM INC TPA XM/M74 (00-132-0482)"""
H110,"""RCKT, 66MM INC TPA *"""
H116,"""RCKT, 2.75 IN SMK WP WHD M259 MTR MK40-3 (1340)"""
H154,"""RCKT, 2.75 IN IR FLARE WHD XM287 MTR MK66-2"""
H161,"""RCKT, 2.75 IN HE WHD M151 MTR MK40-3"""
H163,"""RCKT, 2.75 IN HE WHD M151 MTR MK66, -1, -2"""
H164,"""RCKT, 2.75 IN HE WHD M151 MTR MK66-1, -2"""
H165,"""RCKT, 2.75 IN HE WHD M261 MTR MK66-3"""
H166,"""RCKT, 2.75 IN FLECH WHD XM255E1 MTR MK66-1"""
H180,"""RCKT, 2.75 IN ILLUM WHD M257 MTR MK40 MODS"""
H181,"""RCKT, 2.75 IN ILLUM WHD M257 MTR MK66-1"""
H182,"""RCKT, 2.75 IN ILLUM WHD M257MTR MK 66-2"""
H183,"""RCKT, 2.75 IN ILLUM WHD M257 MTR MK66-3 MK40"""
H184,"""RCKT, 2.75 IN RP SMK WHD M264 MTR MK66-3"""
H185,"""RCKT POD, 298MM M28A1/A2 RRPR MLRS; “S/L INFO”"""
H186,"""RCKT POD, 298MM M26A2 ER MLRS; “S/L INFO”"""
H220,"""WHD, 5 IN DECOY CHAFF MK84-1"""
H287,"""RCKT MTR, TX-632 MQM-107 TARGET DRONE"""
H300,"""RCKT MTR, SR-71-AD-1 METROLOGY RCKT PWN8B"""
H301,"""RCKT MTR, JATO MK91-0"""
H304,"""RCKT MTR, M3A1C 762MM"""
H305,"""RCKT MTR, M3 OR M3A2"""
H309,"""RCKT MTR, 2.75 IN MK66-3"""
H311,"""RCKT MTR, SR REMOTE PILOT VEH MK125-1"""
H312,"""RCKT MTR, SR121-NP-2"""
H313,"""RCKT MTR, JATO MK128-0, 1"""
H314,"""RCKT MTR, JATO MK128-1"""
H315,"""RCKT MTR, JATO 14DS1000 MK4-2"""
H318,"""RCKT MTR, MK127-0"""
H340,"""RCKT MTR, JATO MK6-1, 2"""
H341,"""RCKT MTR, JATO MK117-0"""
H342,"""RCKT MTR, JATO MK25-0, 1, 3"""
H343,"""RCKT MTR, JATO MK7-2, 4"""
H345,"""RCKT MTR, JATO MK7-1"""
H350,"""RCKT MTR, JATO MK23-0"""
H357,"""ROCKET MOTOR, M37"""
H365,"""RCKT MTR, M66 762MM"""
H370,"""RCKT, 66MM RIOT CS-2 XM/M96"""
H388,"""IGNITER, RCKT MTR MK309-0"""
H389,"""IGNITER, RCKT MTR MK307-0"""
H403,"""IGNITER, RCKT MTR MK165-0, 1"""
H405,"""IGNITER, RCKT MTR MK166-0, 1"""
H413,"""IGNITER, RCKT MTR MK173-1"""
H414,"""IGNITER, RCKT MTR MK188-0"""
H417,"""IGNITER, ROCKET MOTOR M58A1, HONEST JOHN"""
H418,"""IGNITER, RCKT MTR MXU 35/A"""
H419,"""IGNITER, RCKT MTR F/PRW8B"""
H420,"""IGNITER, RCKT MTR MK282-0"""
H422,"""IGNITER, RCKT MTR MK296-0"""
H426,"""IGNITER, RCKT MTR MK130-1"""
H427,"""IGNITER, RCKT MTR PVU-3/E"""
H429,"""IGNITER, RCKT MTR MK125-5"""
H430,"""IGNITER, RCKT MTR MK165-0"""
H431,"""IGNITER, RCKT MTR MK286-0"""
H457,"""RCKT, 2.75 IN FLECHETTE WHD XM/M255E1 MTR MK66-3"""
H459,"""RCKT, 2.75 IN FLECHETTE WHD WDU4A-A MTR MK40-3"""
H462,"""RCKT, 2.75 IN FLECHETTE WHD XM255E1 MTR MK66-2"""
H463,"""RCKT, 2.75 IN PRAC WHD M267 MTR MK66-1, 2"""
H464,"""RCKT, 2.75 IN HE WHD M261 MTR MK66-0, 1, 2"""
H469,"""RCKT, 2.75 IN HE WHD M229 MTR MK40-3"""
H470,"""RCKT, 2.75 IN HE WHD M151 MTR MK40 MODS"""
H471,"""RCKT, 2.75 IN HE WHD M151 MTR MK40-3"""
H485,"""RCKT, 2.75 IN HE WHD M151 MTR MK4-10"""
H486,"""RCKT, 2.75 IN SMK WP WHD M156 MTR MK4 MODS"""
H487,"""RCKT, 2.75 IN HE WHD MK5 MODS MTR MK40-1, 3"""
H488,"""RCKT, 2.75 IN HE WHD M229 MTR MK40 MODS"""
H489,"""RCKT, 2.75 IN HE WHD M151 MTR MK40 MODS"""
H490,"""RCKT, 2.75 IN HE WHD M151 MTR MK40 MODS"""
H513,"""RCKT, 2.75 IN PRAC WHD MK1 MODS MTR MK2-0"""
H518,"""RCKT, 2.75 IN SMK WP WHD E12 MTR MK40 MODS"""
H519,"""RCKT, 2.75 IN SMK WP WHD M156 MTR MK40 MODS"""
H534,"""RCKT, 2.75 IN HE WHD M229 MTR MK40-3"""
H546,"""RCKT MTR CLSTR, 5 IN MK16 MODS"""
H547,"""RCKT MTR CLSTR, 5 IN MK71 MODS"""
H553,"""RCKT, 66MM HEAT M72A1, A1E1 LAW “Pm 147”"""
H555,"""RCKT, 66MM HEAT M72, A1 LAW “Pm 147”:"""
H557,"""RCKT, 66MM HEAT M72 SER LAW “Pm 147”"""
H562,"""RCKT MTR CLSTR, 5 IN MK16-3"""
H567,"""RCKT MTR CLSTR, 5 IN MK71-1"""
H580,"""RCKT MTR CLSTR, 5 IN MK71-1"""
H582,"""RCKT, 2.75 IN HE WHD M151 MTR MK66-3"""
H583,"""RCKT, 2.75 IN HE WHD M151 MTR MK66-3"""
H590,"""LAUNCHER W/19 RCKT, 2.75 IN HE"""
H593,"""RCKT, 2.75 IN SMK WP WHD M156 MTR MK40-1, 3"""
H600,"""RCKT, 3.5 IN HEAT M28A2"""
H601,"""RCKT, 3.5 IN PRAC M29A2"""
H602,"""RCKT, 3.5 IN WP M30"""
H628,"""RCKT, 4.5 IN HE M32"""
H640,"""RCKT, 2.75 IN HE WHD M229 MTR MK66-3"""
H641,"""RCKT, 2.75 IN HE WHD M229 MTR MK66-1"""
H642,"""RCKT, 2.75 IN HE WHD M229 MTR MK66-2"""
H650,"""RCKT, 5 IN HE WHD MK7 MTR MK3"""
H651,"""RCKT, 5 IN HE WHD MK10 MTR MK4"""
H652,"""RCKT, 5 IN HE WHD MK8 MTR MK3"""
H653,"""RCKT, 5 IN HE WHD MK10 MTR MK4"""
H655,"""RCKT, 5 IN HE WHD MK12 MTR MK5"""
H657,"""RCKT, 5 IN HE WHD MK7 MTR MK3"""
H706,"""RCKT, 115MM PRAC SIMULANT EG M61"""
H708,"""RCKT, 35MM PRAC SUB-CAL M73"""
H788,"""WHD, 2.75 IN SPOTTING WHD XM157 MTR MK40-5"""
H812,"""WHD, 2.75 IN FLARE M257"""
H813,"""WHD, 2.75 IN FLARE M257"""
H826,"""RCKT, 2.75 IN HE WHD M247 MTR MK40 MODS"""
H828,"""RCKT, 2.75 IN PRAC WHD WTU-1/B MTR MK40 MODS"""
H836,"""WHD, 2.75 IN HE MK1 MODS MK2 MODS"""
H837,"""WHD, 2.75 IN HE MK5-0"""
H838,"""WHD, 2.75 IN HE MK1-1, 3"""
H839,"""WHD, 2.75 IN HEAT M1"""
H840,"""WHD, 2.75 IN HE MK1-1"""
H842,"""WHD, 2.75 IN HE XM/M151"""
H843,"""WHD, 2.75 IN HE XM/M151"""
H845,"""WHD, 2.75 IN SPOTTING XM152"""
H847,"""WHD, 2.75 IN HE MK1 MODS"""
H848,"""WHD, 2.75 IN HE MK1 MODS"""
H849,"""WHD, 2.75 IN SMK WP M156"""
H850,"""WHD, 2.75 IN SMK WP E12"""
H851,"""WHD, 2.75 IN HE XM/M247"""
H855,"""WHD, 2.75 IN SMK WP M156"""
H859,"""WHD, 2.75 IN HE M229"""
H861,"""WHD, 2.75 IN SMK WP MK67-0"""
H862,"""RCKT, 2.75 IN CS WHD XM245 MTR MK40-3"""
H863,"""WHD, 2.75 IN HE M229"""
H864,"""WHD, 2.75 IN HE M151"""
H868,"""WHD, 2.75 IN HE M229"""
H872,"""WHD, 2.75 IN PRAC XM/M274"""
H890,"""WHD, 2.75 IN SMK RP MK67-1"""
H892,"""WHD, 2.75 IN SMK RP MK67-1"""
H893,"""WHD, 2.75 IN SMK RP MK67-1"""
H900,"""WHD, 5 IN HE MK10 MODS"""
H911,"""WHD, 5 IN SMK PWP MK4-1"""
H912,"""WHD, 5 IN HE MK6-1"""
H913,"""WHD, 5 IN HE MK78-0"""
H914,"""WHD, 5 IN HE MK6-4"""
H915,"""WHD, 5 IN HE MK7 MODS"""
H916,"""WHD, 5 IN HE MK8 MODS"""
H922,"""WHD, 5 IN HE MK25-1, 2"""
H923,"""WHD, 5 IN HE MK29-0"""
H928,"""WHD, 5 IN HE MK29-0"""
H929,"""WHD, 5 IN SMK PWP MK34-0"""
H930,"""WHD, 5 IN HE MK24-0"""
H931,"""WHD, 5 IN HE MK32-0"""
H933,"""WHD, 5 IN HE MK63-0"""
H939,"""WHD, 5 IN HE MK24-1"""
H943,"""WHD, 5 IN SMK RP MK34-2"""
H972,"""RCKT, 2.75 IN PRAC WHD M274 MTR MK66-1"""
H973,"""RCKT, 2.75 IN PRAC WHD M274 MTR MK66-2"""
H974,"""RCKT, 2.75 IN PRAC WHD M267 MTR MK66-3"""
H975,"""RCKT, 2.75 IN PRAC WHD M274 MTR MK66-3"""
JL04,"""DETONATION TRANSFER ASSEMBLIES (DTA) SHIP SET, B-2"""
JL49,"""CORD, DET MILD SHIELDED (1377)"""
JL50,"""CORD, DET MILD SHIELDED (1377)"""
JL51,"""CORD, DET MILD SHIELDED (1377)"""
JL52,"""CORD, DET MILD SHIELDED (1377)"""
JL61,"""CARTRIDGE, IMPULSE, CCU-151/A"""
JL66,"""CARTRIDGE, ENGINE STARTER, AGM-129"""
JL72,"""CORD, DET MILD SHIELDED (1377)"""
JL73,"""CORD, DET MILD SHIELDED (1377)"""
JL74,"""CORD, DET MILD SHIELDED (1377)"""
JL75,"""CORD, DET MILD SHIELDED (1377)"""
JL76,"""CORD, DET MILD SHIELDED (1377)"""
JL77,"""CORD, DET MILD SHIELDED (1377)"""
JL78,"""CORD, DET MILD SHIELDED (1377)"""
JL79,"""CORD, DET MILD SHIELDED (1377)"""
JL80,"""CORD, DET MILD SHIELDED (1377)"""
JL81,"""CORD, DET MILD SHIELDED (1377)"""
JL82,"""CORD, DET MILD SHIELDED (1377)"""
JL83,"""CORD, DET MILD SHIELDED (1377)"""
JL84,"""CORD, DET MILD SHIELDED (1377)"""
JL85,"""CORD, DET MILD SHIELDED (1377)"""
JL86,"""CORD, DET MILD SHIELDED (1377)"""
JL87,"""CORD, DET MILD SHIELDED (1377)"""
JL88,"""CORD, DET MILD SHIELDED (1377)"""
JL89,"""CORD, DET MILD SHIELDED (1377)"""
JM29,"""EMERGENCY CANOPY RELEASE LINE (ECRL) KIT, F-16 B/D"""
JM30,"""DTA CORD SET, F-16 B/D, P/N 200310580-10"""
JL31,"""EMERGENCY CANOPY RELEASE LINE (ECRL) KIT"""
JM32,"""DTA CORD SET, F-16 A/C, P/N 200310579-10"""
JM43,"""RKT MOTOR, CANOPY JETTISON, F-16 EGRESS SYSTEM"""
JM72,"""CUTTER, CAD (1377)"""
JM78,"""GENERATOR, GAS PRESSURE; “S/S LIFE ITEM” (1377)"""
JM79,"""GENERATOR, GAS PRESSURE; “S/S LIFE ITEM” (1377)"""
JM87,"""CORD, DET MILD SHIELDED (1377)"""
JM88,"""CORD, DET MILD SHIELDED (1377)"""
JM91,"""CARTRIDGE, IMPULSE, ASSEMBLY/CABLE, MK 236 MOD 1"""
JM92,""" IMPULSE CCU-165/B"""
JM93,"""CABLE CUTTER, CAD MLU-63/B"""
JM94,"""SQUIB, ELECTRIC MK20-1"""
JM96,""" IMPULSE CCU-166/B; “S/S LIFE ITEM”"""
JN05,"""CORD, DETONATING, SHIELDED MILD, SET NO. 34 (1377)"""
JN09,"""CORD, DETONATING, SHIELDED MILD, SET NO. 33 (1377)"""
JN17,""" N-L FIRING DEVISE: TASER XP25 “S/S LIFE ITEM”"""
JN37,"""SHIELDED MILD DETONATING CORD (SMDC) (QF-16)"""
JN38,"""SHIELDED MILD DETONATING CORD (SMDC) (QF-16)"""
JN41,"""INITIATOR, CARTRIDGE ACTUATED, JAU-90/A"""
JN42,"""UNDER SEAT ROCKET MOTOR"""
JW49,"""MISSILE BODY, GM-84A-1, 1B HARPOON (1410)"""
JW50,"""MISSILE BODY, GM-84A-1, 1A, 1B HARPOON (1410)"""
JW77,"""RCKT MTR SECT, BOOSTER HARPOON (1337)"""
JW78,"""RCKT MTR SECT, BOOSTER HARPOON (1337)"""
JW80,"""EXER SECT, GM AN/DKT-46 HARPOON (1336)"""
JW81,"""C ASSY, A/W-99A HARPOON (1420)"""
JW82,""" DUAL BRIDGEWIRE HARPOON (1377)"""
JW88,"""ARMAMENT SECT, GM PHOENIX (1420)"""
JW89,"""ENGINE ASSEMBLY, GUIDED MISSILE, J402-CA-400"""
JW90,"""BTV RTM-84A-4C"""
JW91,"""KIT, FIELD ASSY CAPSULE GM HARPOON (1420)"""
JW96,"""RCKT MTR SECT, BOOSTER HARPOON (1337)"""
J003,"""CANISTER, MINE AT M87A1, E1 VOLCANO (1345)"""
J004,"""DISP & MINE, ACFT CBU-78C/B GATOR (1345)"""
J005,"""DISP & MINE, ACFT WCMD CBU-104A/B (1345)"""
J007,"""MINE, APERS M18A1 (CLAYMORE) (1345)"""
J077,"""RCKT MTR, F/METEOROLOGICAL RCKT (1340)"""
J102,"""RCKT MTR, 2.75 IN MK3, 4 MODS"""
J104,"""RCKT MTR, 2.75 IN"""
J106,"""RCKT MTR, 2.75 IN MK40 MODS"""
J107,"""RCKT MTR, 2.75 IN MK40-0"""
J143,"""RCKT MTR, 5 IN MK22-2/3/4 F/LINEAR DEMO CHG"""
J144,"""RCKT MTR, 5 IN MK22-0 F/LINEAR DEMO CHG"""
J145,"""RCKT MTR, MK23-0/1/2/3"""
J146,"""RCKT MTR, 2.75 IN MK66-1"""
J147,"""RCKT MTR, 2.75 IN MK66-2"""
J149,"""RCKT MTR, JATO MK34-1"""
J161,"""RCKT MTR, 5 IN MK3 MODS"""
J165,"""RCKT MTR, 5 IN MK10-6/7"""
J216,"""RCKT MTR, M66A1 HONEST JOHN"""
J243,"""RCKT MTR"""
J247,"""RCKT MTR, 5 IN MK16-0/1/2/3"""
J262,"""IGNITER, RCKT MTR MXU-35A"""
J263,"""IGNITER, RCKT MTR M20A1"""
J270,"""RCKT MTR, 5 IN MK71-0"""
J271,"""RCKT MTR, 5 IN MK71-1"""
J272,"""RCKT MTR, 5 IN MK81-0"""
J281,"""FUZE, RCKT BASE M404A2"""
J288,"""FUZE, RCKT NOSE PD M440"""
J289,"""FUZE, RCKT NOSE PD FMU-90/B"""
J302,"""FUZE, RCKT NOSE PD MK100-2"""
J320,"""FUZE, RCKT NOSE IMPACT MK176-1/2"""
J321,"""FUZE, RCKT NOSE IMPACT MK181-0"""
J327,"""FUZE, RCKT NOSE PD MK178 MODS"""
J329,"""FUZE, RCKT NOSE PROX MK93-0"""
J343,"""FUZE, RCKT BASE M446"""
J344,"""FUZE, RCKT NOSE PD MK352-2"""
J345,"""FUZE, RCKT NOSE PD MK188-0"""
J346,"""FUZE, RCKT NOSE PD M427"""
J346,"""FUZE, RCKT NOSE PD M427 W/O BOOSTER"""
J348,"""FUZE, RCKT BASE MK191-1"""
J349,"""FUZE, RCKT NOSE PD M423"""
J350,"""FUZE, RCKT NOSE PROX M429"""
J471,"""WARHEAD SEC, 762MM, ROCKET, HE, M6A1 HONEST JOHN"""
J473,"""WARHEAD SEC, 762MM, ROCKET, HE, M186 HONEST JOHN"""
J480,"""RCKT MTR, 318MM M26 LITTLE JOHN"""
J485,"""RCKT MTR, 762MM M3A1 HONEST JOHN"""
KM03,"""SMOKE POT, FLOATING RP MK7-0 (1365)"""
KW02,"""GUIDED MISSILE, HARM CATM-88A, BLOCK IIIA (1410)"""
KW12,"""SPRAY GUN, CN TRNG (1365)"""
KW97,"""BATTERY, THERMAL, MK 134 MOD 0 (6135)"""
KY47,"""ORDNANCE MODULE, ELECTRIC, PSRE, LGM-30G"""
KY91,"""RELEASE ASSEMBLY, AGM-86/B FOR ALCM (1336)"""
KY93,"""TANK ASSEMBLY TMU-73/A U/O ALCM (1336)"""
K001,"""ACTIVATOR, M1 F/AT MINE M6/M15 (1345)"""
K002,"""ACTIVATOR, M1 F/AT MINE PRAC M12"""
K003,"""ACTIVATOR, M2 F/AT MINE NONMETALLIC M19"""
K010,"""BURSTER, FIELD INC M4"""
K015,"""MINE DISPERSING SUBSYS, ACFT PRACT M132"""
K020,"""MINE DISPERSING SUBSYS, ACFT M56"""
K022,"""DISP & MINE, GROUND XM/M131 MOPMS"""
K030,"""PERC PRIMER-IGNITER, F/FUZE M39 F/M10 MINE"""
K040,"""CHG, SPOTTING F/APERS MINE PRAC M8"""
K042,"""CANISTER, MINE PRAC F/XM/M88 VOLCANO"""
K045,"""CANISTER, MINE HE F/XM/M87 VOLCANO"""
K050,"""FUZE, PRESS M603 F/MINE AT HE M6/7/15"""
K051,"""FUZE, PRESS M604 F/MINE AT PRACT M10A1, M12"""
K058,"""FUZE, COMB M605 F/M16 SERIES MINE"""
K061,"""FUZE, PRESS M608 F/MINE AT M6/15 & CHEM M23"""
K068,"""FUZE, M624 F/MINE AT M15"""
K090,"""MINE, APERS M2A1/A4"""
K092,"""MINE, APERS BOUNDING M16 SERIES"""
K105,"""MINE, APERS PRACT M8"""
K120,"""MINE, APERS M3"""
K121,"""MINE, APERS M14"""
K132,"""DISP & MINE, ACFT CBU-89(T-4)A/B"""
K133,"""DISP & MINE, ACFT CBU-78B/B"""
K143,"""MINE, APERS M18A1 W/FIRING DEVICE"""
K145,"""MINE, APERS M18A1 W/O FIRING DEVICE"""
K146,"""MINE, APERS M26 BOUNDING"""
K151,"""MINE, APERS M74 GEMSS"""
K152,"""MINE, APERS M86 PDM"""
K170,"""MINE, AT LIGHT M7A2"""
K180,"""MINE, AT HEAVY M15"""
K181,"""MINE, AT HEAVY M21"""
K182,"""MINE, AT LIGHT M24"""
K184,"""MINE, AT M75 GEMSS"""
K250,"""MINE, AT HEAVY M19"""
K272,"""BOOSTER, M120 F/MINE AT M15, 21 CHEM M23"""
K290,"""DISP & MINE, ACFT CBU-89/B"""
K291,"""DISP & MINE, ACFT CBU-89(T-2)/B"""
K292,"""DISP & MINE, ACFT CBU-89(T-4)/B"""
K293,"""DISP & MINE, ACFT CBU-89(T-1)/B"""
K295,"""DISP & MINE, ACFT CBU-78/B"""
K299,"""DISP & MINE, ACFT CBU-89A/B"""
K301,"""DISP & MINE, ACFT CBU-78A/B"""
K510,"""RIOT CONTROL AGENT, * U/I LB (1365)"""
K511,"""SMOKE POT, FLOATING PRACT TA XM/M8"""
K515,"""RIOT CONTROL AGENT, CN"""
K520,"""RIOT CONTROL AGENT, CNB"""
K531,"""DISP & RIOT CONTROL AGENT, CSX M32"""
K532,"""DISP & RIOT CONTROL AGENT, CR M36"""
K534,"""DISP & RIOT CONTROL AGENT, CN M282"""
K535,"""DISP & RIOT CONTROL AGENT, CN"""
K615,"""INC AGENT, IM U/I LB"""
K616,"""INC AGENT, NP U/I LB"""
K705,"""SMOKE AGENT, FS MIX U/I LB"""
K758,"""RIOT CONTROL AGENT, CR U/I GAL U/I CONTAINS 3 GAL"""
K764,"""RIOT CONTROL AGENT, CS-1 U/I LB"""
K765,"""RIOT CONTROL AGENT, CS CAPSULE U/I EA"""
K766,"""RIOT CONTROL AGENT, CS-2 U/I LB"""
K768,"""RIOT CONTROL AGENT, CS-1 U/I LB"""
K769,"""RIOT CONTROL AGENT, CS-2 U/I LB"""
K771,"""RIOT CONTROL AGENT, CS-1 U/I LB"""
K772,"""RIOT CONTROL AGENT, CS-2 U/I LB"""
K861,"""SMOKE POT, FLOATING SGF-2 MK6-0"""
K864,"""SMOKE POT, GROUND SGF-2 M6"""
K865,"""SMOKE POT, GROUND HC M1"""
K866,"""SMOKE POT, GROUND HC ABC M5"""
K867,"""SMOKE POT, FLOATING HC M4A2"""
K869,"""SMOKE POT, FLOATING OR GROUND SGF-2 AN-M7/A1"""
K870,"""SMOKE POT, FLOATING SGF-2 AN-M7"""
K873,"""SMOKE POT, FLOATING AN-M7 W/O SMK MIX"""
K874,"""SMOKE POT, GROUND HC MK3-0"""
K885,"""FUZE, MECH M208 F/SMK POT"""
K886,"""FUZE, ELEC M209 F/SMK POT"""
K887,"""FUZE, MECH M207A1 F/SMK POT"""
LA01,"""FLARE, ACFT/DECOY MJU-32/B (1370)"""
LA02,"""FLARE, ACFT/DECOY MJU-38/B"""
LA05,"""FLARE, ACFT/PARA NIR LUU-19/B"""
LA06,"""SIMULATOR, PYRO MAIN TANK GUN M30"""
LA07,"""SIMULATOR, PYRO DIFCUE W/STARS XM/M31 SER"""
LA10,"""FLARE, ACFT PRACT SIMULATOR SM-875A/ALE"""
LA11,"""SIMULATOR, MACHINE GUN FIRE MK110-0"""
LA12,""" PYRO 15MM BIRD SCREAMER"""
LA13,""" PYRO 15MM BIRD BANGER"""
LA14,"""DECOY, IR COUNTERMEASURE M211"""
LA15,"""FLARE, ACFT COUNTERMEASURE XM/M212"""
LA16,"""SIGNAL, SMK ORANGE SD-600"""
LA19,"""FLARE, DECOY IR COUNTERMEASURE MJU-50/B"""
LA20,"""FLARE, DECOY IR COUNTERMEASURE MJU-51/B"""
LA21,"""FLARE, IR COUNTERMEASURE MJU-53/B"""
LA26,"""SIGNAL, SMK/ILLUM MARINE MK141-0 GREEN"""
LA27,"""SIGNAL, SMK/ILLUM MARINE MK144-0 YELLOW"""
LA28,"""SIGNAL, SMK/ILLUM MARINE MK140-0 RED"""
LA29,"""FLARE, ACFT/PARA NIR LUU-19A/B"""
LA30,"""FLARE, IR COUNTERMEASURE MJU-47/B"""
LA31,"""FLARE, IR COUNTERMEASURE MJU-48/B"""
LA32,"""FLARE, IR COUNTERMEASURE MJU-39/B"""
LA33,"""FLARE, IR COUNTERMEASURE MJU-40/B"""
LA35,"""FLARE DEVICE, ACFT/DECOY MJU-55/B"""
LA36,"""FLARE, IR COUNTERMEASURE MJU-62/B"""
