Dodic,Nomenclature
AZ34,""" 7.62MM 1 BALL L2A2/1 TR L5A3"""
AZ35,""" 7.62MM 4 BALL L2A2/1 TR L5A3"""
AZ36,""" 7.62MM BLANK L13A2 LNKD"""
AZ40,""" 5.56MM BALL L2A2  """
AZ41,""" 5.56MM 4 BALL L2A2/1 TR L1A2"""
AZ42,""" 5.56MM BALL L2A2 SNGL RD"""
A001,""" 12 GAGE SKEET #9 SHOT PLASTIC CASE"""
A002,""" 12 GAGE TRAP/SKEET #7 1/2 SHOT PLASTIC CASE"""
A003,""" 12 GAGE TRAP/SKEET #8 SHOT PLASTIC CASE"""
A004,""" 12 GAGE TRAP/SKEET #8 1/2 SHOT PLASTIC CASE"""
A005,""" 12 GAGE SKEET #9 SHOT PLASTIC CASE"""
A006,""" 12 GAGE TR #8 SHOT PLASTIC CASE"""
A007,""" 12 GAGE TR #8 SHOT PLASTIC CASE"""
A010,""" 10 GAGE BLANK/SUBCAL SALUTE M220"""
A014,""" 12 GAGE #7 1/2 SHOT"""
A015,""" 12 GAGE #8 SHOT"""
A017,""" 12 GAGE #9 SHOT"""
A019,""" 12 GAGE FLECHETTE"""
A020,""" 12 GAGE #4B BUCKSHOT XM/M257"""
A021,""" 12 GAGE SHOTGUN"""
A023,""" 12 GAGE 1 OZ SLUG"""
A024,""" 12 GAGE POWDERED METAL FILLER MK246-0"""
A046,""" 20 GAGE SKEET #9 SHOT"""
A052,""" .410 SHOTGUN SKEET #9 SHOT"""
A055,""" .410 SHOTGUN #6 SHOT M35"""
A057,""" 28 GAGE MATCH #9 SHOT"""
A058,""" 5.56MM BALL   SNGL RD"""
A064,""" 5.56MM 4 BALL  /1 TR  """
A065,""" 5.56MM BALL PLASTIC SR M862 SNGL RD"""
A066,""" 5.56MM BALL M193 SNGL RD"""
A067,""" 5.56MM 2 BALL M193/1 TR M196  """
A068,""" 5.56MM TR M196 SNGL RD"""
A070,""" 5.56MM BALL HPT M197 SNGL RD"""
A071,""" 5.56MM BALL M193  """
A072,""" 5.56MM TR M196  """
A073,""" 5.56MM 4 BALL M193/1 TR M196"""
A079,""" 5.56MM BLANK M755 F/64MM KE PROJ"""
A080,""" 5.56MM BLANK M200 SNGL RD"""
A084,""" CAL .22 SHORT BALL"""
A085,""" CAL .22 SHORT BLANK"""
A086,""" CAL .22 LR BALL"""
A087,""" CAL .22 HORNET BALL M39/M65"""
A088,""" CAL .22 HORNET BALL M65"""
A090,""" CAL .22/5.6MM LR TR M861/DM51"""
A091,""" CAL .22 LR BALL MATCH (RIFLE)"""
A093,""" CAL .22 LR BALL MATCH (PISTOL/REVOLVER)"""
A095,""" CAL .22 SHORT BALL MATCH (REVOLVER)"""
A096,""" CAL .22 LR BALL MATCH (RIFLE)"""
A097,""" CAL .22 LR BALL MATCH (RIFLE)"""
A098,""" CAL .22 LR BALL MATCH (AUTO PISTOL)"""
A102,""" 7.62MM BALL F/AK47 SNGL RD (1305)"""
A103,""" 7.62MM BLANK F/AK47 SNGL RD"""
A106,""" CAL .22 LR BALL"""
A110,""" 7.62MM BLANK M82  """
A111,""" 7.62MM BLANK XM/M82/M82E1 LNKD"""
A112,""" 7.62MM BLANK M82 SNGL RD"""
A122,""" 7.62MM BALL M59/M80 SNGL RD"""
A124,""" 7.62MM TR M62 SNGL RD"""
A127,""" 7.62MM 4 BALL M59/M80/1 TR M62"""
A128,""" 7.62MM BALL M80 LNKD"""
A129,""" 7.62MM BALL HPT M60 SNGL RD"""
A130,""" 7.62MM BALL M80  """
A131,""" 7.62MM 4 BALL M80/1 TR M62"""
A136,""" 7.62MM BALL M118 MATCH SNGL RD"""
A140,""" 7.62MM TR M62 SNGL RD"""
A143,""" 7.62MM BALL M80 LNKD"""
A145,""" 7.62MM TR M62  """
A146,""" 7.62MM TR M62 LNKD"""
A147,""" 7.62MM BALL FRANGIBLE M160 LNKD"""
A149,""" 7.62MM BALL M80  """
A150,""" 7.62MM NATO REFERENCE"""
A151,""" 7.62MM 4 BALL M80/1 TR M62"""
A152,""" 7.62MM BALL M80 LNKD"""
A163,""" 7.62MM 9 BALL M80/1 DIM TR M276"""
A164,""" 7.62MM BALL M80 LNKD"""
A165,""" 7.62MM 4 BALL M80/1 TR M62"""
A166,""" 7.62MM BALL M80 SNGL RD"""
A167,""" 7.62MM TR M62 SNGL RD"""
A168,""" 7.62MM 9 BALL M80/1 TR M62"""
A169,""" 7.62MM H-P BT-TL MATCH SNGL RD"""
A170,""" 7.62MM H-P BT-TL MATCH SNGL RD"""
A171,""" 7.62MM BALL M852 MATCH SNGL RD"""
A181,""" CAL .30 CARBINE BALL M1 SNGL RD"""
A182,""" CAL .30 CARBINE BALL M1  """
A183,""" CAL .30 CARBINE TR M16/M27 SNGL RD"""
A184,""" CAL .30 CARBINE TR M27  """
A185,""" CAL .30 CARBINE BALL HPT M18 SNGL RD"""
A190,""" CAL .30 MATCH SNGL RD"""
A191,""" CAL .300 WIN MAG H-P BT-TL MATCH SNGL RD"""
A201,""" CAL .30  M2 SNGL RD"""
A202,""" CAL .30  M2 SNGL RD"""
A203,""" CAL .30  M2  """
A205,""" CAL .30 *  """
A207,""" CAL .30  M2 LNKD"""
A209,""" CAL .30 4/1 *"""
A211,""" CAL .30 BALL M2 SNGL RD"""
A212,""" CAL .30 BALL M2 SNGL RD"""
A214,""" CAL .30 BALL M2  """
A216,""" CAL .30 BALL M2  """
A217,""" CAL .30 BALL M2 LNKD"""
A218,""" CAL .30 4 BALL M2/1 TR M25"""
A219,""" CAL .30 4 BALL M2/1 TR M1 MG"""
A220,""" CAL .30 BALL FRANGIBLE M22 SNGL RD"""
A222,""" CAL .30 BLANK M1909 SNGL RD"""
A223,""" CAL .30 BLANK M1909  """
A224,""" CAL .30 BLANK M1909   (1305)"""
A225,""" CAL .30 BLANK M1909 LNKD"""
A230,""" CAL .30 TR M1/M25 SNGL RD"""
A231,""" CAL .30 TR M1/M25 SNGL RD"""
A232,""" CAL .30 TR M1  """
A234,""" CAL .30 TR M1/M25  """
A236,""" CAL .30 TR M25 LNKD"""
A237,""" CAL .30 BALL HPT M1 SNGL RD"""
A238,""" CAL .30 TR M1 (DET T) SNGL RD"""
A242,""" CAL .30 BLANK M3 SNGL RD"""
A244,""" CAL .30 TR M1 (DET T)  """
A245,""" CAL .30 TR M1 (DET T)  """
A246,""" CAL .30 BALL BT-TL M72 MATCH SNGL RD"""
A247,""" CAL .30 BALL BT-TL M72 MATCH  """
A250,""" Cal .30 0BALL H-H MAG"""
A254,""" 7.62MM TR FFV553"""
A255,""" 7.62MM 4 BALL M80/1 DIM TR M276"""
A257,""" 7.62MM 9 BALL M80/1 DIM TR M276"""
A258,""" 7.62MM 14 BALL M80/1 DIM TR M276"""
A260,""" 9MM SUBSONIC 147 GRAIN JHP BALL"""
A348,""" CAL .32 BALL WADCUTTER (AUTO PISTOL)"""
A349,""" CAL .32 BALL"""
A350,""" CAL .32 BALL (AUTO PISTOL)"""
A352,""" CAL .32 LINE THROWING"""
A358,""" 9MM TP-T M939 F/SUBCAL AT-4 TRNR"""
A360,""" 9MM BALL M1 PARABELLUM"""
A362,""" 9MM SUBSONIC 147 GRAIN FMJ BALL MK144-0/1"""
A363,""" 9MM BALL XM/M882"""
A364,""" 9MM BALL HPT M905"""
A365,""" 14.5MM ARTY TRNR SPTR M181 3 SEC DEL"""
A366,""" 14.5MM ARTY TRNR SPTR M182 6 SEC DEL"""
A367,""" 14.5MM ARTY PRACTICE M183"""
A397,""" CAL .38 SPEC BALL PGU-12/B"""
A400,""" CAL .38 SPEC BALL M41 130 GRAIN"""
A401,""" CAL .38 SPEC BALL 158 GRAIN"""
A402,""" CAL .38 SPEC BALL 158 GRAIN"""
A403,""" CAL .38 SPEC BLANK"""
A404,""" CAL .38 SPEC BALL WADCUTTER"""
A406,""" CAL .38 SPEC TR FULL-JCKT"""
A407,""" CAL .38 BALL WADCUTTER MATCH"""
A409,""" CAL .38 BALL AUTO"""
A412,""" CAL .38 SPEC BALL SEMI-JCKTD"""
A413,""" CAL .38 SPEC BALL/HPT SEMI-CUTTER HL-PT"""
A415,""" CAL .380 BALL (9MM SHORT)"""
A450,""" 20MM 4 TP PGU-27/B/1 TP-T PGU-30/B"""
A470,""" CAL .45 BALL WADCUTTER MATCH"""
A471,""" CAL .45 BALL MATCH"""
A475,""" CAL .45 BALL M1911"""
A476,""" CAL .45 BLANK M9"""
A477,""" CAL .45 LINE THROWING M32"""
A479,""" CAL .45 TR M26"""
A480,""" CAL .45 BALL HPT M1"""
A481,""" CAL .45 BALL M45"""
A482,""" CAL .45 BALL WADCUTTER MATCH"""
A483,""" CAL .45 BALL M1911 MATCH"""
A516,""" CAL .50 SLAP-T XM/M962 LNKD"""
A517,""" CAL .50 1 SLAP-T XM/M962/1 SL XM/M903"""
A518,""" CAL .50 1 SLAP-T XM/M962/4 SL XM/M903"""
A519,""" CAL .50 SL XM/M903 LNKD"""
A520,""" CAL .50 4 BALL M33/1 TR M17 MG (1305)"""
A523,""" CAL .50 4 API-T M20 (DET T)/1 TR M17 (DET T)"""
A525,""" CAL .50  M2 SNGL RD AC"""
A526,""" CAL .50  M2 SNGL RD MG"""
A527,""" CAL .50  M2 LNKD AC"""
A528,""" CAL .50  M2 LNKD MG"""
A530,""" CAL .50 4  M2/1 TR M17 MG"""
A531,""" CAL .50 API M8 SNGL RD AC"""
A532,""" CAL .50 API M8/API-T M20 (DET T) SNGL RD MG"""
A533,""" CAL .50 API M8 LNKD AC"""
A534,""" CAL .50 API M8 LNKD MG"""
A539,""" CAL .50 4 API M8/1 TR M17 AC"""
A540,""" CAL .50 4 API M8/1 TR M1/M17 MG"""
A541,""" CAL .50 API-T M20 SNGL RD AC"""
A542,""" CAL .50 API-T M20 SNGL RD MG"""
A543,""" CAL .50 API-T M20 LNKD AC"""
A544,""" CAL .50 API-T M20 LNKD MG"""
A545,""" CAL .50 API M8 LNKD AC"""
A546,""" CAL .50 BALL M2 LNKD AC"""
A547,""" CAL .50 1 API M8/1 TR M1/M10/1 INC M1 AC"""
A549,""" CAL .50 AP/API M2/M8 INC M1 TR M1/M10 LNKD AC"""
A550,""" CAL .50 AP/API M2/M8 INC M1 TR M1 LNKD MG"""
A551,""" CAL .50 API M8/INC M1/API-T M20 LNKD AC"""
A552,""" CAL .50 BALL M2/M33 SNGL RD AC"""
A553,""" CAL .50 BALL M2/M33 SNGL RD MG"""
A554,""" CAL .50 BALL M2 LNKD AC"""
A555,""" CAL .50 BALL M33 LNKD MG"""
A557,""" CAL .50 *"""
A558,""" CAL .50 BLANK M1 SNGL RD"""
A559,""" CAL .50 BLANK M1 LNKD"""
A562,""" CAL .50 INC M1/M23 SNGL RD AC"""
A563,""" CAL .50 INC M1/M23 SNGL RD MG"""
A564,""" CAL .50 INC M1/M23 LNKD AC"""
A570,""" CAL .50 TR M1/M10/M17 SNGL RD AC"""
A571,""" CAL .50 TR M1/M10/M17 SNGL RD MG"""
A572,""" CAL .50 TR M17 LNKD AC"""
A573,""" CAL .50 TR M17 LNKD MG"""
A574,""" CAL .50 SPOTTER-TR M48 SERIES SNGL RD"""
A575,""" CAL .50 HPT M1 SNGL RD"""
A576,""" CAL .50 API M8/API-T M20 LNKD AC"""
A577,""" CAL .50 API M8/API-T M20 LNKD MG"""
A579,""" CAL .50 TP T249E2 SNGL RD"""
A580,""" CAL .50 TR M1/M17 SNGL RD MG"""
A581,""" CAL .50 TR M10 (DET T) LNKD MG"""
A583,""" CAL .50 4 BALL M2/1 TR M1"""
A584,""" CAL .50 BALL M33 LNKD AC"""
A585,""" CAL .50 API-T M20 LNKD AC"""
A586,""" CAL .50 TR M17 LNKD AC"""
A587,""" CAL .50 4 API M8/1 API-T M20 AC"""
A589,""" CAL .50 4 API M8/1 API-T M20 MG"""
A590,""" CAL .50 4 API M8/1 TR M17 MG"""
A592,""" CAL .50 4 API M8/1 TR M1 AC"""
A593,""" CAL .50 4  M2/1 TR M1/M10/M17 MG"""
